age,Sr,eSr,d13C,ed13C,d34S,ed34S,fR,efR,fL,efL,fA,efA,fA_Godderis,efA_Godderis,fAw_fA,efAw_fA,fAw_fA_Godderis,efAw_fA_Godderis,fD,efD,fD_Godderis,efD_Godderis,RT,eRT,GEOG,eGEOG,GEOG_Godderis,eGEOG_Godderis,fSR,efSR,fC,efC,fHR,efHR,fHRall,efHRall
510,89,2.419794621,-0.5,0.383574975,35.3,1.761953461,1.0254,0.082032,0.97,0.388,0.66,0.33,0.902,0.20295,1,0.2,0.83465,0.417325,1.1,0.55,0.75560946,0.170012129,0.030325998,0.015162999,1.1,5,-3.3495,1.25,1.62,0.2835,0.75,0.16875,0,0,0,0
509,89,2.5166575146,-0.55,0.3562781175,35.38,1.8887635054,1.02503,0.0820024,0.972,0.3888,0.659,0.3295,0.8991,0.2022975,1,0.2,0.835365,0.4176825,1.097,0.5485,0.7620679197,0.1714652824,0.0301836588,0.0150918294,1.2,5,-3.21705,1.25,1.61,0.28175,0.75,0.16875,0,0,0,0
508,89,2.6135204082,-0.6,0.32898126,35.46,2.0155735498,1.02466,0.0819728,0.974,0.3896,0.658,0.329,0.8962,0.201645,1,0.2,0.83608,0.41804,1.094,0.547,0.7685263794,0.1729184358,0.0300413196,0.0150206598,1.3,5,-3.0846,1.25,1.6,0.28,0.75,0.16875,0,0,0,0
507,89,2.7103833018,-0.65,0.3016844025,35.54,2.1423835942,1.02429,0.0819432,0.976,0.3904,0.657,0.3285,0.8933,0.2009925,1,0.2,0.836795,0.4183975,1.091,0.5455,0.7749848391,0.1743715892,0.0298989804,0.0149494902,1.4,5,-2.95215,1.25,1.59,0.27825,0.75,0.16875,0,0,0,0
506,89,2.8072461954,-0.7,0.274387545,35.62,2.2691936386,1.02392,0.0819136,0.978,0.3912,0.656,0.328,0.8904,0.20034,1,0.2,0.83751,0.418755,1.088,0.544,0.7814432988,0.1758247426,0.0297566412,0.0148783206,1.5,5,-2.8197,1.25,1.58,0.2765,0.75,0.16875,0,0,0,0
505,89,2.904109089,-0.75,0.2470906875,35.7,2.396003683,1.02355,0.081884,0.98,0.392,0.655,0.3275,0.8875,0.1996875,1,0.2,0.838225,0.4191125,1.085,0.5425,0.7879017585,0.177277896,0.029614302,0.014807151,1.6,5,-2.68725,1.25,1.57,0.27475,0.75,0.16875,0,0,0,0
504,89,3.0009719826,-0.8,0.21979383,35.78,2.5228137274,1.02318,0.0818544,0.982,0.3928,0.654,0.327,0.8846,0.199035,1,0.2,0.83894,0.41947,1.082,0.541,0.7943602182,0.1787310494,0.0294719628,0.0147359814,1.7,5,-2.5548,1.25,1.56,0.273,0.75,0.16875,0,0,0,0
503,89,3.0978348762,-0.85,0.1924969725,35.86,2.6496237718,1.02281,0.0818248,0.984,0.3936,0.653,0.3265,0.8817,0.1983825,1,0.2,0.839655,0.4198275,1.079,0.5395,0.8008186779,0.1801842028,0.0293296236,0.0146648118,1.8,5,-2.42235,1.25,1.55,0.27125,0.75,0.16875,0,0,0,0
502,89,3.1946977698,-0.9,0.165200115,35.94,2.7764338162,1.02244,0.0817952,0.986,0.3944,0.652,0.326,0.8788,0.19773,1,0.2,0.84037,0.420185,1.076,0.538,0.8072771376,0.1816373562,0.0291872844,0.0145936422,1.9,5,-2.2899,1.25,1.54,0.2695,0.75,0.16875,0,0,0,0
501,89,3.2915606634,-0.95,0.1379032575,36.02,2.9032438606,1.02207,0.0817656,0.988,0.3952,0.651,0.3255,0.8759,0.1970775,1,0.2,0.841085,0.4205425,1.073,0.5365,0.8137355973,0.1830905096,0.0290449452,0.0145224726,2,5,-2.15745,1.25,1.53,0.26775,0.75,0.16875,0,0,0,0
